name,web,lat,long,country
Jugger Halifax,<img src="https://doc-0g-b0-mymaps.googleusercontent.com/untrusted/hostedimage/glq0ertkjq4pfspe462v75g0i8/ldme6lqapt4cmuo1i943h39irg/1573214400000/9FnDH1sQNa5OyRurRtSi3XhS4vWlfz6Y/07371843970532912375/1AF2TALr0zBJfBc6tmfPXOR3mieWXszsWLvbS7J14a6OsD_Yw52_7ihhB78XTVAcYaYIJYJm8GYhfpcciR846_8ss7v2H-6zDKcnhyYe4pgmTd4hp3PaRpDxjUIb7YtrnELth_J71ujLVgwFHQXF9IjNIm06DikVsdJ8JRCtNR87XzVwQF3OhYP_yecnDzkaO-B3Y_ztgjqiRfUSSGHktpocZFTOXZDjffKsWJa76GHHKy2Zkq_8wAuNF3v5LGRL5x9du36iKuw_n5Z4IpdVBjh7Nd43Ts_aFNg?session=1&fife" height="200" width="auto" /><br><br>https://www.facebook.com/juggerhalifax,-63.5792542,44.6510703,USA__Canada
Jugger Toronto,https://www.facebook.com/groups/JuggerToronto/,-79.3858337,43.6489945,USA__Canada
Jugger Vancouver,https://www.facebook.com/juggervancouver,-123.1148529,49.2608592,USA__Canada
Red Dirt Jugger Club,https://www.facebook.com/groups/114787848554225/,-97.5938009,35.5281317,USA__Canada
Inland Jugger Empire League,https://www.facebook.com/groups/316971551802028/,-119.2864609,46.2857494,USA__Canada
Colorado Jugger League,<img src="https://doc-0s-b0-mymaps.googleusercontent.com/untrusted/hostedimage/glq0ertkjq4pfspe462v75g0i8/ibuqflqa5o8s8cch778mdc5afo/1573214400000/9FnDH1sQNa5OyRurRtSi3XhS4vWlfz6Y/07371843970532912375/1AF2TALp8vjlX_cqGtjDjiCJWlRDsXg_3Rr7BpsD5UdBLQlqY9s6g6jfIm3qm5dXbYb5z1So8Tn-OzMNF0cq5XJtDwCOoxPnJu127IMZFiHKBm-3KZ7MIDC1S_cKFudrPqQTYssE__k_UEk9Y2kjIHLV4-ElnwtEtodzhG2FHgN1qxvcjGBAUiWy3d6ye9yRl0z9ziv679KjOngBn1pHYg6rTtwh_DdVoRCdc0L90xoNS9Fq_saYQVvZydLTEPm6zr_1TSRnjBvp5IKRbcsVGNctaAxFqqOPcdQ?session=1&fife" height="200" width="auto" /><br><br>https://www.facebook.com/groups/coloradojugger/,-105.0663757,39.6701992,USA__Canada
Jugger California,https://www.facebook.com/JuggerCalifornia,-122.2771453,37.8179208,USA__Canada
Carolina Aggressive Jugger Association,https://www.facebook.com/groups/cajajugger/,-78.9625167,33.6817825,USA__Canada
Jugger Ohio,https://www.facebook.com/jugger.ohio,-81.45401,39.4144466,USA__Canada
Jugger Tennessee,https://www.facebook.com/groups/JuggerTN/,-86.7796326,36.160053,USA__Canada
Wyoming Jugger Club,https://www.facebook.com/groups/413808018720996/,-109.2369747,41.5906043,USA__Canada
Jugger Arizona,https://www.facebook.com/JuggerArizona,-112.0711899,33.4460526,USA__Canada
Mississippi Aggro Jugger League,https://www.facebook.com/MississippiAggroJuggerLeague,-90.0744152,32.1988571,USA__Canada
Springfield MO Jugger,https://www.facebook.com/swmojugger/,-93.2955551,37.206816,USA__Canada
Jugger Florida,https://www.facebook.com/juggerflorida,-81.6560555,30.3229522,USA__Canada
Bad Panda,https://www.facebook.com/groups/1044036452274895/,-122.6795197,45.5227061,USA__Canada
Ursae Majoris,https://www.facebook.com/groups/JuggerUCB/,-122.2731972,37.8714658,USA__Canada
SF Juggernauts,https://www.facebook.com/groups/1543315222652201/,-122.419281,37.7735642,USA__Canada
The Juggers of the Wasteland,https://www.facebook.com/groups/134882559866761,-118.1490326,34.1515905,USA__Canada
Jugger Montana (Blitzbison),https://www.facebook.com/groups/2013321212231267/,-108.524701,45.7867851,USA__Canada
Jugger Angers,No Page as of Yet,-0.5630493,47.4782902,France
Les Calanquiers,Jugger Team from Marseilles,5.3774643,43.2944497,France
Jugger Paris,https://www.facebook.com/groups/120405368573633/,2.35222190000002,48.856614,France
Los Addams,,-5.60874880000006,43.2751294,Spain
Magnethopollos Jugger,,-1.1340876,37.9899401,Spain
Polars,,-5.9262961,43.5570193,Spain
Asociación Madrileña de Jugger,https://www.facebook.com/juggermadrid,-3.7071991,40.41611,Spain
Loto Negro,https://www.facebook.com/Loto.Negro.JuggerTeam/?ref=br_rs,-0.8837637,41.6613914,Spain
Jugger Logroño,https://www.facebook.com/JuggerLogro/,-2.4520111,42.4593704,Spain
Ninjas Almoradi Jugger,https://www.facebook.com/pages/Ninjas-Almoradi-Jugger/263945877094281,-0.7937621,38.1106368,Spain
Asociación Murciana de Jugger,https://www.facebook.com/AMUJUGGER/,-1.1442947,37.9941335,Spain
Colmillo Blanco Jugger,https://www.facebook.com/ColmilloBlancoJuggerTeam/,-0.3917312,39.4719803,Spain
Galician Association of Jugger - AGJ,https://www.facebook.com/JuggerGalicia,-8.4002494,43.352208,Spain
Elements Jugger Team,https://www.facebook.com/ElementsJugger,-0.3764534,39.4697276,Spain
Trenckos Jugger Team,https://www.facebook.com/pages/Trenckos-Jugger-Team/309729619156706,-8.7228012,42.2348725,Spain
Northwest Wolves - Jugger Team,https://www.facebook.com/NWW.jugger.coruna,-8.4311485,43.3403485,Spain
Asociación Alicantina de Jugger,https://www.facebook.com/juggeralicante,-0.4921531,38.3448875,Spain
Association of Jugger and Softcombat Valladolid,https://www.facebook.com/juggervalladolid,-4.7177696,41.6562407,Spain
Verracos,https://www.facebook.com/VerracosJugger,-1.1301761,37.9837497,Spain
Pyropatos Jugger Club,http://pyropatosjc.wix.com/home,-8.425312,43.3607576,Spain
Lobeznos - Jugger Team,https://www.facebook.com/Juggerlobeznos,-8.4137249,43.3449677,Spain
Templarios Negros Jugger Club,https://www.facebook.com/tmnjugger/,-8.7143039,42.2285809,Spain
Asociación Valenciana de Jugger,https://www.facebook.com/asociacionvalencianadejugger/,-0.3841782,39.4666796,Spain
Softcombat y jugger en Vigo,https://www.facebook.com/softcombatjuggervigo/,-8.7233162,42.2330931,Spain
Geek & Destroy - Jugger Team,https://www.facebook.com/geekdestroy,-8.4126949,43.3586984,Spain
Blood Axes Jugger Coruña,https://www.facebook.com/pages/Blood-Axes-Jugger-Coruña/182590351949246,-8.4168147,43.3380388,Spain
Valkyries,https://www.facebook.com/JuggerValkyries,-8.4234237,43.3489,Spain
Valar Morghulis,https://www.facebook.com/ValarMorghulisJuggerTeam,-8.7150764,42.2349997,Spain
Bearserkers,https://www.facebook.com/BearserkersJugger/,-3.6984449,40.3971576,Spain
Qwick Survivors Jugger Team,https://www.facebook.com/QwickSurvivors,0.6319714,41.6185545,Spain
Jugger Zaragoza,https://www.facebook.com/groups/322441734492777/,-0.8995056,41.6564972,Spain
Coruñesa Association of Jugger,https://www.facebook.com/JuggerCoruna,-8.4053993,43.3680584,Spain
Plan B - Zaragoza,https://www.facebook.com/pages/Plan-B-Zaragoza/228265587228056,-0.9082603,41.6295579,Spain
